source_no,title,source_url,publisher,publication_date,acquired_at,version,effective_date,expiry_date,authority_status,country,jurisdiction,language,document_type,authority_level,license_note,license_url,local_path,answerable,manually_verified,review_status,parser_version,checksum,notes,data_class,source_type,actually_downloaded,contains_personal_data,minimization_rule,translation_provider,translation_model,translation_version
SRC-OFFICIAL-CN-017,关于进一步加强城市房屋室内装饰装修安全管理的通知,https://www.gov.cn/zhengce/zhengceku/202306/content_6885666.htm,住房和城乡建设部,2023-06-07,2026-08-10,建办〔2023〕29号,2023-06-07,,现行政策文件,CN,全国,zh-CN,renovation_safety,national_department_rule,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.gov.cn/zhengce/zhengceku/202306/content_6885666.htm,official/china/national/src-official-cn-017.html,true,true,approved,html-structured-v2,3e244becfb212b037a6d8d8cace3b1c29c91d490a5a6d8e1e8204c5a81bc3255,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-018,住宅室内装饰装修管理办法（官方PDF）,https://www.mohurd.gov.cn/file/2022/20220228/8e2304b2-9f66-426b-ab25-6eda86fa0f67.pdf,住房和城乡建设部,2011-01-26,2026-08-10,2011年修正文本,2011-01-26,,现行有效,CN,全国,zh-CN,renovation_management,national_department_rule,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.mohurd.gov.cn/file/2022/20220228/8e2304b2-9f66-426b-ab25-6eda86fa0f67.pdf,official/china/national/src-official-cn-018.pdf,true,true,approved,pdf-structured-v2,9f74147dad15da85f4436614ac77eeefe9772af256587fb72b5096e6614ca508,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-019,高层民用建筑消防安全管理规定（官方PDF）,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/gz11/202106/P020211228721655794602.pdf,应急管理部,2021-06-21,2026-08-10,应急管理部令第5号,2021-08-01,,现行有效,CN,全国,zh-CN,highrise_fire_rule,national_department_rule,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/gz11/202106/P020211228721655794602.pdf,official/china/national/src-official-cn-019.pdf,true,true,approved,pdf-structured-v2,73fb470f82da2afe28b2d31a85af37633603eb72866bb8e6fbeac31f66697436,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-020,住宅专项维修资金管理办法,https://zjw.beijing.gov.cn/bjjs/xxgk/543346069/543346064/325733100/index.shtml,建设部、财政部（北京市住建委网站转载）,2007-12-04,2026-08-10,建设部、财政部令第165号,2008-02-01,,现行有效,CN,全国,zh-CN,maintenance_fund,national_department_rule,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://zjw.beijing.gov.cn/bjjs/xxgk/543346069/543346064/325733100/index.shtml,official/china/national/src-official-cn-020.html,true,true,approved,html-structured-v2,a6d476075c7ffcbfd3f043f46517b608660a007099ec176d5fd9ae2cff43f58b,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-003,北京市物业管理条例（2024年修正）,https://www.beijing.gov.cn/zhengce/dfxfg/202404/t20240401_3607249.html,北京市人民代表大会常务委员会,2024-03-29,2026-08-10,2024年修正文本,2024-03-29,,现行有效,CN,北京市,zh-CN,property_management_regulation,local_regulation,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/dfxfg/202404/t20240401_3607249.html,official/china/beijing/src-official-cn-bj-003.html,true,true,approved,html-structured-v2,0aa049cf48b3382d79470ad49c008638a9a4e85869649de66a3efd08eb2deae0,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-004,《北京市物业管理条例》官方解读,https://www.beijing.gov.cn/zhengce/zcjd/202004/t20200401_1781920.html,北京市人民政府,2020-04-01,2026-08-10,官方解读,2020-04-01,,现行配套解读,CN,北京市,zh-CN,official_interpretation,official_interpretation,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/zcjd/202004/t20200401_1781920.html,official/china/beijing/src-official-cn-bj-004.html,true,true,approved,html-structured-v2,95bdbc4bd33d86834d46d9882a2903aa7e81da491000b7a914e0dadfdbcf57ce,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-005,DB11/T 751-2025 住宅物业服务标准,https://bzh.scjgj.beijing.gov.cn/bzh/apifile/file/2025/20250709/88e1be81-0a3b-4193-9cae-a506c0d9874a.pdf,北京市市场监督管理局,2025-06-30,2026-08-10,DB11/T 751-2025,2025-10-01,,现行有效,CN,北京市,zh-CN,property_service_standard,local_standard,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://bzh.scjgj.beijing.gov.cn/bzh/apifile/file/2025/20250709/88e1be81-0a3b-4193-9cae-a506c0d9874a.pdf,official/china/beijing/src-official-cn-bj-005.pdf,true,true,approved,pdf-structured-v2,2fddf75188ab11ba113222d69997baa85b996059a319de0f42c07286d50dae8d,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-006,北京市住宅专项维修资金管理办法,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436468388/index.shtml,北京市住房和城乡建设委员会等,2009-11-02,2026-08-10,京建物〔2009〕836号,2009-12-01,,现行政策文件,CN,北京市,zh-CN,maintenance_fund,local_department_rule,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436468388/index.shtml,official/china/beijing/src-official-cn-bj-006.html,true,true,approved,html-structured-v2,28910c46a038dffbb02e4258c28b2eed31fd99ed6f165e6dc1e86fa5723d5018,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-007,北京市住宅专项维修资金使用审核标准,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436460235/index.shtml,北京市住房和城乡建设委员会,2010-05-19,2026-08-10,京建发〔2010〕272号,2010-05-19,,现行政策文件,CN,北京市,zh-CN,maintenance_fund_review,local_department_rule,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436460235/index.shtml,official/china/beijing/src-official-cn-bj-007.html,true,true,approved,html-structured-v2,1242725b32f82d82cc65f105fb4f58f9caaf522a5ef2b756b68e74ab405b1513,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-008,城镇住宅专项维修资金应急使用审核办事指南,https://banshi.beijing.gov.cn/pubtask/task/1/110102000000/1be1171c-df7b-4dc2-8f6f-9791b4232c71.html,北京市政务服务管理局,2026-01-01,2026-08-10,在线办事指南当前版,2026-01-01,,当前办事指南,CN,北京市,zh-CN,maintenance_fund_emergency,official_service_guide,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://banshi.beijing.gov.cn/pubtask/task/1/110102000000/1be1171c-df7b-4dc2-8f6f-9791b4232c71.html,official/china/beijing/src-official-cn-bj-008.html,true,true,approved,html-structured-v2,0b8c58377ecc7786a5ca854ff1978b470456bad878fd8d324dab7da5fc93e729,,KB_POLICY,official_public_document,true,false,,,,
