source_no,title,source_url,publisher,publication_date,acquired_at,version,effective_date,expiry_date,authority_status,country,jurisdiction,language,document_type,authority_level,license_note,license_url,local_path,answerable,manually_verified,review_status,parser_version,checksum,notes,data_class,source_type,actually_downloaded,contains_personal_data,minimization_rule,translation_provider,translation_model,translation_version
SRC-OFFICIAL-CN-BJ-019,北京市消防条例,https://www.beijing.gov.cn/zhengce/dfxfg/202504/t20250428_4076471.html,北京市人民代表大会常务委员会,2025-03-28,2026-08-10,2025年修订文本,2025-05-01,,现行有效,CN,北京市,zh-CN,fire_regulation,local_regulation,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/dfxfg/202504/t20250428_4076471.html,official/china/beijing/src-official-cn-bj-019.html,true,true,approved,html-structured-v2,dd34b65817d71dbd47863607559dd2edd2b37e1b480bb2dcc154fa99f3635bf6,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-020,北京市非机动车管理条例,https://www.beijing.gov.cn/zhengce/dfxfg/202512/t20251203_4318959.html,北京市人民代表大会常务委员会,2025-11-28,2026-08-10,2025年修订文本,2026-05-01,,现行有效,CN,北京市,zh-CN,electric_bicycle_rule,local_regulation,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/dfxfg/202512/t20251203_4318959.html,official/china/beijing/src-official-cn-bj-020.html,true,true,approved,html-structured-v2,b26af5510fc7e9f53c0f5322c11d5129ef804ef6700b034ea0bbb9b359aee990,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-021,北京市电梯安全监督管理办法,https://scjgj.beijing.gov.cn/cxfw/flfgcxfw/tzsbl/202006/t20200618_1928088.html,北京市人民政府（北京市市场监督管理局网站）,2008-06-10,2026-08-10,北京市人民政府令第205号,2008-08-01,,现行有效,CN,北京市,zh-CN,elevator_safety,local_government_rule,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://scjgj.beijing.gov.cn/cxfw/flfgcxfw/tzsbl/202006/t20200618_1928088.html,official/china/beijing/src-official-cn-bj-021.html,true,true,approved,html-structured-v2,d8cfae04e2eded54cdfca584852d672b02e421b91b1cc710342973e0e1072120,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-022,北京市电梯困人处置工作流程,https://www.beijing.gov.cn/cs/gncs/zcwj/202603/t20260327_4568251.html,北京市人民政府,2026-03-27,2026-08-10,2026年公开工作流程,2026-03-27,,当前工作指引,CN,北京市,zh-CN,elevator_entrapment_process,official_guide,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/cs/gncs/zcwj/202603/t20260327_4568251.html,official/china/beijing/src-official-cn-bj-022.html,true,true,approved,html-structured-v2,752833495eababee4ede47670d3be4bb7f3e631a399d57064bd7b5aeba994da7,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-023,北京市供热采暖管理办法,https://www.beijing.gov.cn/gongkai/zfxxgk/zc/gz/202112/W020211216532156679225.pdf,北京市人民政府,2009-12-12,2026-08-10,北京市人民政府令第216号,2010-04-01,,现行有效,CN,北京市,zh-CN,heating_management,local_government_rule,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/gongkai/zfxxgk/zc/gz/202112/W020211216532156679225.pdf,official/china/beijing/src-official-cn-bj-023.pdf,true,true,approved,pdf-structured-v2,e0a57e080457e66d67171ce6148461fc8e33654eba0885fd2911e06e7202eb75,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-024,北京市燃气管理条例,https://csglw.beijing.gov.cn/zwxx/2024zcwj/202405/t20240517_3687045.html,北京市人民代表大会常务委员会（北京市城管委网站）,2020-09-25,2026-08-10,2020年修订文本,2021-01-01,,现行有效,CN,北京市,zh-CN,gas_management,local_regulation,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://csglw.beijing.gov.cn/zwxx/2024zcwj/202405/t20240517_3687045.html,official/china/beijing/src-official-cn-bj-024.html,true,true,approved,html-structured-v2,8b646e2380d09cccf6172e4baf3063f0af598b28d41bcf1aa5978a6e03ba624e,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-025,北京市居民用户燃气安全巡检工作规范,https://www.beijing.gov.cn/zhengce/zhengcefagui/202103/t20210312_2306334.html,北京市城市管理委员会,2021-03-12,2026-08-10,当前公开文本,2021-03-12,,现行工作指引,CN,北京市,zh-CN,gas_home_inspection,official_guide,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/zhengcefagui/202103/t20210312_2306334.html,official/china/beijing/src-official-cn-bj-025.html,true,true,approved,html-structured-v2,e3d1600131ee5b3d5a055b1c4db197b80c6f9cff68c4db0fabafd1fcad499eff,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-026,北京市物业服务收费明码标价通知,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/436469191/index.shtml,北京市发展改革委、北京市住房和城乡建设委员会,2016-07-08,2026-08-10,京发改〔2016〕1383号,2016-09-01,,现行政策文件,CN,北京市,zh-CN,property_fee_disclosure,local_policy,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/436469191/index.shtml,official/china/beijing/src-official-cn-bj-026.html,true,true,approved,html-structured-v2,fe2bae509b8bc369be46e197c9378985d67cebf3d19b76e32a473e39edd5cd39,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-027,北京市物业服务项目收支情况公示参考文本,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/436459838/index.shtml,北京市住房和城乡建设委员会,2020-07-31,2026-08-10,官方参考文本,2020-07-31,,现行工作指引,CN,北京市,zh-CN,public_income_disclosure,official_template,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/436459838/index.shtml,official/china/beijing/src-official-cn-bj-027.html,true,true,approved,html-structured-v2,8dbda53073863065fabd8f010ef1bc5dcd33283cd04923d8b4fd5dd11497afdd,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-028,北京市机动车停车条例,https://www.beijing.gov.cn/zhengce/dfxfg/202404/t20240401_3607248.html,北京市人民代表大会常务委员会,2024-03-29,2026-08-10,2024年修正文本,2024-03-29,,现行有效,CN,北京市,zh-CN,parking_management,local_regulation,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/dfxfg/202404/t20240401_3607248.html,official/china/beijing/src-official-cn-bj-028.html,true,true,approved,html-structured-v2,e7de9362f901f04164d3bc59fcc397ab419a04af0208d430b17544a09cdb3a80,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-029,北京市生活垃圾管理条例,https://csglw.beijing.gov.cn/zwxx/2024zcwj/202405/t20240517_3687034.html,北京市人民代表大会常务委员会（北京市城管委网站）,2020-09-25,2026-08-10,2020年修正文本,2020-09-25,,现行有效,CN,北京市,zh-CN,waste_sorting,local_regulation,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://csglw.beijing.gov.cn/zwxx/2024zcwj/202405/t20240517_3687034.html,official/china/beijing/src-official-cn-bj-029.html,true,true,approved,html-structured-v2,973cf021fdb3f4965e8e090f4ceca5d1acbbc27328fdca5b9aa9d6a488dc35d8,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-030,北京市养犬管理规定,https://www.beijing.gov.cn/zhengce/dfxfg/201905/t20190522_56547.html,北京市人民代表大会常务委员会,2003-09-05,2026-08-10,2003年公布文本,2003-10-15,,现行有效,CN,北京市,zh-CN,pet_management,local_regulation,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/dfxfg/201905/t20190522_56547.html,official/china/beijing/src-official-cn-bj-030.html,true,true,approved,html-structured-v2,fac3eca4b10d4886f8e76e4f619ba543c0c148bf8368522c3f372f0aae5f467a,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-031,北京市绿化条例,https://www.beijing.gov.cn/zhengce/dfxfg/202008/t20200805_1974790.html,北京市人民代表大会常务委员会,2019-07-26,2026-08-10,2019年修正文本,2019-07-26,,现行有效,CN,北京市,zh-CN,greening_management,local_regulation,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/dfxfg/202008/t20200805_1974790.html,official/china/beijing/src-official-cn-bj-031.html,true,true,approved,html-structured-v2,84da1bb4618746e190f97b79b0e43eddf9e2eb8b1ae6322417339f5b5a7b7c8f,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-032,北京市市容环境卫生条例,https://www.beijing.gov.cn/zhengce/dfxfg/202111/t20211103_2527864.html,北京市人民代表大会常务委员会,2021-09-24,2026-08-10,2021年修正文本,2021-09-24,,现行有效,CN,北京市,zh-CN,public_area_environment,local_regulation,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/dfxfg/202111/t20211103_2527864.html,official/china/beijing/src-official-cn-bj-032.html,true,true,approved,html-structured-v2,4c02f2696087f5ff4fa40b5de92fcc404a8d0ed04d4281c1eeefe625868885ec,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-033,北京市接诉即办改革工作实施意见,https://www.beijing.gov.cn/zhengce/zhengcefagui/202011/t20201105_2129024.html,北京市人民政府,2020-11-05,2026-08-10,当前公开文本,2020-11-05,,现行政策文件,CN,北京市,zh-CN,complaint_12345,local_policy,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/zhengcefagui/202011/t20201105_2129024.html,official/china/beijing/src-official-cn-bj-033.html,true,true,approved,html-structured-v2,b03eebce9868b52de2904afd775d88fb6b7b09b107dd31433fe2264dd1e1edca,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-034,北京市防汛应急预案（2025年修订）,https://yjglj.beijing.gov.cn/art/2025/4/15/art_2522_687454.html,北京市应急管理局,2025-04-15,2026-08-10,2025年修订版,2025-04-15,,现行应急预案,CN,北京市,zh-CN,flood_emergency,emergency_plan,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://yjglj.beijing.gov.cn/art/2025/4/15/art_2522_687454.html,official/china/beijing/src-official-cn-bj-034.html,true,true,approved,html-structured-v2,081105298c6c0e6d14718d33b5309aeae0e1320ee71857e4a45676e5ee0bbbdf,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-035,北京市供热突发事件应急预案（2024年版）,https://yjglj.beijing.gov.cn/art/2025/6/30/art_2522_687728.html,北京市应急管理局,2025-06-30,2026-08-10,2024年版,2025-06-30,,现行应急预案,CN,北京市,zh-CN,heating_emergency,emergency_plan,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://yjglj.beijing.gov.cn/art/2025/6/30/art_2522_687728.html,official/china/beijing/src-official-cn-bj-035.html,true,true,approved,html-structured-v2,d9ce3f85df0329109e7bcda4f9d9f183c4e478aaf6757a056c7e70c0b645c785,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-036,北京市火灾事故应急救援预案（2024年修订）,https://yjglj.beijing.gov.cn/art/2025/6/30/art_2522_687722.html,北京市应急管理局,2025-06-30,2026-08-10,2024年修订版,2025-06-30,,现行应急预案,CN,北京市,zh-CN,fire_emergency,emergency_plan,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://yjglj.beijing.gov.cn/art/2025/6/30/art_2522_687722.html,official/china/beijing/src-official-cn-bj-036.html,true,true,approved,html-structured-v2,ca73a49013d1a116dc84f75c0c63c8c87744c6bf595599775056b1fca4439e70,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-037,北京市突发事件总体应急预案（2021年修订）,https://gdb.beijing.gov.cn/rf_zwgk/2024zcwj/2024_flfg/202405/t20240530_3699280.html,北京市人民政府,2021-08-04,2026-08-10,2021年修订版,2021-08-04,,现行应急预案,CN,北京市,zh-CN,general_emergency,emergency_plan,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://gdb.beijing.gov.cn/rf_zwgk/2024zcwj/2024_flfg/202405/t20240530_3699280.html,official/china/beijing/src-official-cn-bj-037.html,true,true,approved,html-structured-v2,4ec35e45a284be4fc396e87ae0b3627d921be3352d5fc13558cb2bb027b5c331,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-038,北京市雪雾低温天气应急预案,https://yjglj.beijing.gov.cn/art/2024/12/10/art_2522_684450.html,北京市应急管理局,2024-12-10,2026-08-10,当前公开版本,2024-12-10,,现行应急预案,CN,北京市,zh-CN,cold_weather_emergency,emergency_plan,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://yjglj.beijing.gov.cn/art/2024/12/10/art_2522_684450.html,official/china/beijing/src-official-cn-bj-038.html,true,true,approved,html-structured-v2,94ad17153255820016e6d46eed35e3ea3541d7be8057e91a823517ad2d878934,,KB_POLICY,official_public_document,true,false,,,,
SRC-OFFICIAL-CN-BJ-039,北京市节水条例,https://www.beijing.gov.cn/zhengce/zhengcefagui/qtwj/202407/t20240701_3734559.html,北京市人民代表大会常务委员会,2023-11-24,2026-08-10,2023年公布文本,2024-03-01,,现行有效,CN,北京市,zh-CN,water_conservation,local_regulation,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/zhengce/zhengcefagui/qtwj/202407/t20240701_3734559.html,official/china/beijing/src-official-cn-bj-039.html,true,true,approved,html-structured-v2,c43b677dce9b7dcc32799e56a50f205a58d540db37174d57bd5699fc20ecfd07,,KB_POLICY,official_public_document,true,false,,,,
SRC-OPS-PUBLIC-BJ-001,北京市12345市民服务热线2022年度数据报告,https://www.beijing.gov.cn/hudong/jpzt/2022ndsjbg/index.html,北京市人民政府,2023-01-01,2026-08-10,2022年度报告,2023-01-01,,公开聚合统计,CN,北京市,zh-CN,public_aggregate_statistics,official_statistics,国家机关公开的法律法规和具有立法、行政性质的文件按其法定公开属性使用；其他指南仅保存内部检索快照并引用原始官方链接，不再分发。,https://www.beijing.gov.cn/hudong/jpzt/2022ndsjbg/index.html,official/china/beijing/src-ops-public-bj-001.html,false,false,pending,html-structured-v2,01cf4d05a1eee3c2e34453b7591ade46e997d36285cb010c9f31a54dae2f8976,OPS_PUBLIC：仅用于类别和趋势分析，不用于个案事实或法律依据。,OPS_PUBLIC,official_public_document,true,false,,,,
