source_no,source_url,allowed_host,allowed_redirect_hosts,expected_mime,expected_signature,min_bytes,max_bytes,destination
SRC-OFFICIAL-CN-BJ-013,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436468187/index.shtml,zjw.beijing.gov.cn,zjw.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-013.html
SRC-OFFICIAL-CN-BJ-014,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/436459816/index.shtml,zjw.beijing.gov.cn,zjw.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-014.html
SRC-OFFICIAL-CN-BJ-015,https://zjw.beijing.gov.cn/bjjs/fwgl/wyglxx/wyglxx/53592936/2020010313585259864.pdf,zjw.beijing.gov.cn,zjw.beijing.gov.cn,application/pdf,pdf,300,31457280,official/china/beijing/src-official-cn-bj-015.pdf
SRC-OFFICIAL-CN-BJ-016,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/543339801/index.shtml,zjw.beijing.gov.cn,zjw.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-016.html
SRC-OFFICIAL-CN-BJ-017,https://www.beijing.gov.cn/zhengce/zfwj/zfwj2016/szfl/202010/t20201030_2125883.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-017.html
SRC-OFFICIAL-CN-BJ-018,https://www.beijing.gov.cn/zhengce/dfxfg/202512/t20251203_4318928.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-018.html
SRC-OFFICIAL-CN-BJ-019,https://www.beijing.gov.cn/zhengce/dfxfg/202504/t20250428_4076471.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-019.html
SRC-OFFICIAL-CN-BJ-020,https://www.beijing.gov.cn/zhengce/dfxfg/202512/t20251203_4318959.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-020.html
SRC-OFFICIAL-CN-BJ-021,https://scjgj.beijing.gov.cn/cxfw/flfgcxfw/tzsbl/202006/t20200618_1928088.html,scjgj.beijing.gov.cn,scjgj.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-021.html
SRC-OFFICIAL-CN-BJ-022,https://www.beijing.gov.cn/cs/gncs/zcwj/202603/t20260327_4568251.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-022.html
SRC-OFFICIAL-CN-BJ-023,https://www.beijing.gov.cn/gongkai/zfxxgk/zc/gz/202112/W020211216532156679225.pdf,www.beijing.gov.cn,www.beijing.gov.cn,application/pdf,pdf,300,31457280,official/china/beijing/src-official-cn-bj-023.pdf
SRC-OFFICIAL-CN-BJ-024,https://csglw.beijing.gov.cn/zwxx/2024zcwj/202405/t20240517_3687045.html,csglw.beijing.gov.cn,csglw.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-024.html
SRC-OFFICIAL-CN-BJ-025,https://www.beijing.gov.cn/zhengce/zhengcefagui/202103/t20210312_2306334.html,www.beijing.gov.cn,www.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-025.html
SRC-OFFICIAL-CN-BJ-026,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/436469191/index.shtml,zjw.beijing.gov.cn,zjw.beijing.gov.cn,text/html,html,300,31457280,official/china/beijing/src-official-cn-bj-026.html
